E730_150.PTP	0	0	 	>テレビが点けっぱなしになっている。	>电视机一直在开着。
E730_150.PTP	0	1	 	>ニュ‒ス番組が流れている⋯	　	>正在播放新闻节目⋯
E730_150.PTP	6	1	レポ‒タ‒	あ、な、なんと、マイクを持っています!{0A}歌う気です!	啊，他、他居然拿着麦克风！{0A}他难道打算唱歌吗！
E730_150.PTP	7	0	歌声	あなたの~ テレビに~{0A}時価ネットたなかァァ~	大家都在~ 电视上看~{0A}田中时价购物网~
E730_150.PTP	7	1	歌声	み·ん·な·の 欲の友!	我们是大·家·的·欲望之友！
E730_150.PTP	7	2	歌声	たなか社長{0A}{F5 1F 26 01 0B 01 03 01 02 01}ハァ‒イ、みんな!{0A}時価ネットは年中無休でお届け参上!	田中社长{0A}{F5 1F 26 01 0B 01 03 01 02 01}ＨＩ～！大家好！{0A}田中时价网全年无休，时时刻刻为您提供服务！
E730_150.PTP	7	3	歌声	安くてイイモノ独占販売!{0A}嬉しい悲鳴で騒音公害!	物廉价美，独家专卖！{0A}欢喜惊呼之声犹如山崩海啸！
E730_150.PTP	7	4	歌声	株も右肩上がりで飛ぶ鳥ガンガン落とします!{0A}買って勝ち組、買わなきゃ一生負けてれば?	股价也是直线上升，能够直冲云霄！{0A}买的到就是人生赢家，买不到就会一败涂地！
E730_150.PTP	7	5	歌声	しょっぱい世の中のオンリ‒ミラクル!{0A}それが"時価ネットたなか"よ!	这艰难世界里的唯一奇迹！{0A}那就是“田中时价购物网”哟！
E730_150.PTP	7	6	歌声	よっろしくねぇ~!	今后也请多加~光顾~!
E730_150.PTP	8	0	 	>たなか社長を乗せた車は走り去った⋯	>田中社长乘车离去了⋯
E730_150.PTP	9	0	レポ‒タ‒	あっ⋯{0A}い、行ってしまいました!	啊⋯{0A}跑，他跑了！
E730_150.PTP	10	0	コメンテ‒タ‒	何やってんですかアンタは!{0A}それでもレポ‒タ‒か!　	　	你在犯什么傻啊！{0A}你这样也算是记者吗！
E730_150.PTP	10	1	コメンテ‒タ‒	コメントも取れない、更には{0A}タダで宣伝してやったようなもの!	没有采访到一句不说，{0A}还平白让他乘机做了宣传！
E730_150.PTP	11	0	ニュ‒スキャスタ‒	あっ、待ってください。{0A}こちらにFAXが届きました。	啊，请等一下。{0A}这边收到了一封ＦＡＸ。
E730_150.PTP	11	1	ニュ‒スキャスタ‒	な、なんと渦中のたなか社長からです!{0A}読み上げます。	竟然，发件人竟然是这次话题的中心人物，田中社长！{0A}容我念一下内容。
E730_150.PTP	11	2	ニュ‒スキャスタ‒	たなか社長からのFAX文面{0A}{F5 1F 26 01 0B 01 03 01 02 01}ハァ‒イ、あなたの懐の親友、たなかよ!	来自田中社长的FAX{0A}{F5 1F 26 01 0B 01 03 01 02 01}Ｈｉ～我是你钱包的好朋友,田中哟！
E730_150.PTP	11	3	ニュ‒スキャスタ‒	わたしの金は、わたしの金。	我的钱，就是我的钱呢。
E730_150.PTP	11	4	ニュ‒スキャスタ‒	会社の金じゃないんだし、{0A}好きに使っていいじゃない。	又不是公司的钱。{0A}我想怎么用都是我的自由吧。
E730_150.PTP	11	5	ニュ‒スキャスタ‒	言っとくけど、恥ずかしいと思うことは{0A}何一つしてないわよ!	我先申明一下，{0A}我可没有做过半件对不起良心的事情呀！
E730_150.PTP	11	6	ニュ‒スキャスタ‒	だからあなたも、{0A}好きにうちの商品を買うがいいわ!	所以呢，你们也要买我们家的商品的话{0A}就趁早快快买下吧！
E730_150.PTP	11	7	ニュ‒スキャスタ‒	時価ネットは年中無休でお届け参上!{0A}買うのは今しかない!	田中时价网全年无休，时时刻刻为您提供服务！{0A}要买趁现在！
E730_150.PTP	11	8	ニュ‒スキャスタ‒	バハハ~イ!	那么ＢｙｅＢｙｅ～！
E730_150.PTP	11	9	ニュ‒スキャスタ‒	ニュ‒スキャスタ‒{0A}{F4 20 26 01 0B 01 03 01}⋯使途を明かす気は無いようですね。	新闻主播{0A}{F4 87 01 01 01 01 01 01}⋯他似乎并不打算说明那笔钱的去处呢。
E730_150.PTP	12	0	コメンテ‒タ‒	ど⋯どこまで恥知らずだ!{0A}たなかという男は⋯	这⋯这是多不知羞耻啊！{0A}田中这个男人真是⋯
E730_150.PTP	12	1	コメンテ‒タ‒	ちょっと金持ちだからって、{0A}庶民の気持ちを踏みにじってる!	　	只不过是有点臭钱而已，{0A}竟然擅自践踏我们这些平民的感受！
E730_150.PTP	12	2	コメンテ‒タ‒	あなたがた庶民の代表としてですね、{0A}私は声を大にして言いたい!	作为各位平民的代表，{0A}我要大声发出抗议！
E730_150.PTP	12	3	コメンテ‒タ‒	このような資本主義の原則の上に肥え太った⋯	像田中这种利用资本主义规则中饱私囊的⋯	
E730_150.PTP	13	0	ニュ‒スキャスタ‒	はい、ありがとうございました。	好的,感谢您的评论。	
E730_150.PTP	13	1	ニュ‒スキャスタ‒	どのような使い道かは不明ですが、{0A}人道的なものであることを願うばかりですね。	那笔钱的用途虽然依旧不明，{0A}但是我们也只能祈祷它们被用在正道上了啊。
E730_150.PTP	13	2	ニュ‒スキャスタ‒	では次、株の速報です。	那么下一条是有关股价的速报。
E730_150.PTP	13	3	ニュ‒スキャスタ‒	⋯なんと時価ネット株が{0A}急上昇してるとのニュ‒スが入ってきました。	⋯令人吃惊，据这条新闻所述，{0A}时价购物网的股价现在正急速上涨。
E730_150.PTP	14	0	 	>ニュ‒スは続いている⋯	>新闻继续播放着⋯
