datMyth.PTP	0	0	<EMPTY>	RESERVE{0A}神話 
datMyth.PTP	11	0	<EMPTY>	アイルランド神話に登{0A}場する英雄。この名は{0A}「クランの猛犬」を意{0A}味する異名であり、元{0A}来の名はセタンタ。{0A}長身で快活な美青年。{0A}師より皆伝の証に譲ら{0A}れた魔槍を手に、数々{0A}の活躍を遂げた。	；爱尔兰神话当中登场{0A}的英雄，他的名字是{0A}「库林的猛犬」之意。{0A}原名瑟坦特，是一位{0A}高大爽朗的美少年，{0A}他手拿师父传给他的{0A}魔枪，留下不少英雄{0A}事迹。
datMyth.PTP	12	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}半獣半人の姿の悪魔。{0A}召喚した者を望み通り{0A}の姿に変える事が出来{0A}るが、その力は短い間{0A}しか続かないという。	；所罗门王72柱魔神{0A}之一。半人半兽的恶{0A}魔。据说它可以顺应{0A}召唤者的愿望改变其{0A}容貌，但是这种力量{0A}只能持续短暂的时间。
datMyth.PTP	13	0	<EMPTY>	神道の教義「一霊四魂」{0A}に示される、4つの魂の{0A}うちの1つ。{0A}病の治癒や健康の維持{0A}に関する恵みをもたら{0A}すという。	；神道教义「一灵四魂」{0A}所提到的四魂之一。{0A}据说能够为人治病，{0A}并赐予维持健康等恩{0A}惠。
datMyth.PTP	14	0	<EMPTY>	インド神話における、{0A}水の精。名は「水の中で{0A}動くもの」の意。容姿{0A}は歳若い女性で、その{0A}妖艶な美貌は苦行の{0A}成就を阻む煩悩の例え{0A}に用いられる程である。{0A}また、戦死者の霊をイ{0A}ンドラの待つ天界へ運{0A}ぶ役目も担う。	；印度神话中的水精。{0A}名字含义为「在水中{0A}游动者」。外观是年{0A}轻妖艳的女子，常被{0A}用来比喻作是阻碍苦{0A}行修成正果的烦恼。{0A}同时她也负责引导战{0A}死者的灵魂前往因陀{0A}罗等待着的天界。
datMyth.PTP	15	0	<EMPTY>	インド神話における、{0A}美と幸福の神。{0A}ヴィシュヌの妃であり、{0A}愛の神カ‒マの母。{0A}女性の理想像を具現化{0A}した容姿をもち、大変{0A}な美貌を誇る。{0A}妖艶な踊り手としても{0A}知られ、多くの神々を{0A}魅了したとされる。	；印度神话中掌管美和{0A}幸福的女神。她是毗{0A}湿奴的妃子，同是也{0A}是爱神伽摩之母，拥{0A}有理想中的女性形象{0A}与非常的美貌。她也{0A}是一位妖艳的舞者，{0A}让许多的神祇为之倾{0A}倒。
datMyth.PTP	16	0	<EMPTY>	インド神話における、{0A}シヴァの妃の一者。{0A}その姿は非常に美しく、{0A}あらゆる美の象徴とも。{0A}常にシヴァの傍らにあ{0A}り、シヴァの第三の眼{0A}を開かせる一助を担っ{0A}た。	；印度神话中湿婆的妃{0A}子之一。她的容貌非{0A}常美丽，是所有美的{0A}象征。她经常待在湿{0A}婆身边，协助湿婆打{0A}开第三只眼。
datMyth.PTP	17	0	<EMPTY>	日本神話の女神。{0A}北陸は白山の豊穣神。{0A}黄泉比良坂でイザナギ{0A}とイザナミの間に立ち、{0A}仲裁を行ったとされる。{0A}転じて、死と復活に関{0A}る女神とも。	；日本神话中的女神。{0A}是北陆地方白山的丰{0A}饶之神。据说她曾在{0A}黄泉比良坂介入伊邪{0A}那美与伊邪那岐之间{0A}进行劝解
datMyth.PTP	18	0	<EMPTY>	インド神話において、{0A}シヴァの最初の妃とな{0A}った女神。{0A}父親ダクシャとシヴァ{0A}との確執により炎に身{0A}をくべて非業の死を遂{0A}げるが、後に転生して{0A}パ‒ルヴァティとなり、{0A}再びシヴァと契りを結{0A}ぶ。	；在印度神话当中第一{0A}位成为湿婆妃子的女{0A}神。由于父亲达克沙{0A}与湿婆之间的争执，{0A}使她投身火中悲惨的{0A}死去。但后来她转世{0A}为帕尔瓦蒂，再度与{0A}湿婆结为夫妻。
datMyth.PTP	19	0	<EMPTY>	インド神話の女神。{0A}ブラフマ‒の妻。{0A}河の化身とされ、その{0A}名は「水をもつ者」の{0A}意である。一方で技芸{0A}の神としても知られ、{0A}64もの音楽·芸術を{0A}自在に使うとされてい{0A}る。	；印度神话中的女神。{0A}是梵天的妻子。她被{0A}视为河流的化身，名{0A}字原意是「持水者」。{0A}同时也是掌管灵巧手{0A}艺之神。可以自由自{0A}在地运用64种不同{0A}的音乐与艺术。
datMyth.PTP	20	0	<EMPTY>	スコットランドの伝説{0A}に残る、額に螺旋状の{0A}角をもった白馬。{0A}純潔を守る乙女にしか{0A}心を開かず、体に触れ{0A}させないという。{0A}一方でその角は、あら{0A}ゆる病に効く万能薬の{0A}材料になるとされる。	；苏格兰传说中额头上{0A}长着螺旋角的白马。{0A}它只会对纯洁的处女{0A}敞开心胸，除此之外{0A}不让任何人碰触身体。{0A}另外，它的角也被视{0A}为是能够治百病的万{0A}能药的材料。
datMyth.PTP	21	0	<EMPTY>	小アジアはフリュギア{0A}の地母神。大地の化身{0A}であり、野獣を支配し{0A}ライオンを従える。{0A}美少年アティスを愛人{0A}とするが、その浮気に{0A}怒り、狂死に追いやる。{0A}狂乱する儀式で崇拝さ{0A}れ、その信仰はギリシ{0A}ャにも広まった。	；小亚细亚弗里几亚地{0A}区的地母神。是大地{0A}的化身。同时也能支{0A}配野兽，以狮子作为{0A}自己的随从。由于爱{0A}人美少年阿提斯对她{0A}不忠，一怒之下将阿{0A}提斯逼疯至死。人们{0A}大多以狂乱的仪式来{0A}崇拜她，其信仰也遍{0A}及希腊地区。
datMyth.PTP	22	0	<EMPTY>	ケルト神話における、{0A}暗黒の女神。{0A}その名は「影」を意味{0A}し、これは最後の審判{0A}の日に神々が落ち行く{0A}ところの「影」を意味{0A}すると言われる。{0A}女神スカアハと同一視{0A}される場合も。	；凯尔特神话中的黑暗{0A}女神。她的名字意思{0A}是「暗影」。即最后{0A}审判日时诸神坠落之{0A}处。有时会被与女神{0A}斯卡哈视为同一存在。
datMyth.PTP	23	0	<EMPTY>	鬼子母神として知られ{0A}る女神。{0A}元は人間の子供を食ら{0A}うという邪悪な鬼であ{0A}ったが、釈迦の戒めに{0A}よって改心した。{0A}代わりにザクロの実を{0A}食べるようになり、子{0A}供の成育を守る神へと{0A}変貌した。	；以鬼子母神之名著称{0A}的女神。原本是吃人{0A}类小孩的恶鬼，后来{0A}在释迦训诫之下改过{0A}向善。于是她改吃石{0A}榴的果实，转变为保{0A}佑孩子平安长大的神{0A}祇。
datMyth.PTP	24	0	<EMPTY>	インド神話における、{0A}シヴァの妃の一人。{0A}大地神の恐怖側面を司{0A}り、好戦的で血を好む。{0A}頭骨や血塗れの剣を常{0A}に握っているが、しか{0A}しその手には信徒に祝{0A}福を与える力が宿ると{0A}言われ、強烈な二面性{0A}が表れている。	；印度神话中湿婆的妃{0A}子之一。象征大地神{0A}令人畏惧的一面，好{0A}战且嗜血。虽然时常{0A}拿着头骨与染血的剑，{0A}但她的手同时却也能{0A}够赐予信徒们祝福，{0A}有着强烈的二元性格。
datMyth.PTP	25	0	<EMPTY>	永遠の生の源といわれ{0A}るガンジス河の女神。{0A}元は神々の住むメル山{0A}頂上にあるブラフマン{0A}の町の周りを流れる河{0A}であったが、賢者バギ{0A}ラタの苦行により地上{0A}に落下した。それ以来、{0A}神々や人々に恵みをも{0A}たらし続けている。	；被认为是“永生之源”{0A}的恒河女神。原本是{0A}流经众神居住的须弥{0A}山顶上的婆罗门城附{0A}近的河流，后来在贤{0A}人跋吉罗陀的苦修之{0A}下而得以流至人间。{0A}其后恒河变不断为众{0A}神与人类带来惠泽。
datMyth.PTP	26	0	<EMPTY>	苦行によって強大な力{0A}を得た悪鬼。世界を支{0A}配する程の力を有した{0A}が、神々に遣わされた{0A}軍神カルティケ‒ヤに{0A}よって倒されたという。{0A}ある時は、女悪魔の姿{0A}でヴィシュヌ神の変身{0A}であるラ‒マ王を脅か{0A}したという。	；通过苦行得到强大力{0A}量的恶鬼。据说它虽{0A}有能支配世界的力量、{0A}却被众神遣来的军神{0A}室建陀击败。据闻他{0A}曾以女恶魔的姿态，{0A}威胁了化身为罗摩王{0A}的毗湿奴。
datMyth.PTP	27	0	<EMPTY>	ギリシャ神話の半人半{0A}蛇の姿をした女怪物。{0A}もとはゼウスに愛され{0A}るほどの美しいリビア{0A}の女王であったが、女{0A}神ヘラの嫉妬により子{0A}供たちを殺され、狂乱{0A}のうちに人を襲い食う{0A}怪物へと変じた。	；希腊神话中半人半蛇{0A}的女怪物。原本是利{0A}比亚的美丽女王，备{0A}受宙斯宠爱，却因为{0A}女神赫拉的嫉妒使得{0A}她的孩子惨遭杀害，{0A}而她也在疯狂中化身{0A}为会袭击人类的吃人{0A}怪物。
datMyth.PTP	28	0	<EMPTY>	北欧神話の主神。武人{0A}にして魔術師であり、{0A}知識の探求者でもある。{0A}その姿は隻眼の戦士。{0A}魔槍グングニルと増殖{0A}する指輪ドラウプニル{0A}を手に、8脚の神馬ス{0A}レイプニルを駆る。	；北欧神话的主神，既{0A}是武者也是魔术师，{0A}是渴望知识的探寻者。{0A}其形象为独眼的战士，{0A}手持魔枪冈格尼尔，{0A}手带指环德罗普尼尔，{0A}骑乘着八腿神马斯雷{0A}普尼尔。
datMyth.PTP	29	0	<EMPTY>	巨大な雪ダルマの体を{0A}持つジャックフロスト{0A}の王。{0A}無数のジャックフロス{0A}トを従え、世界を雪と{0A}霜で凍てつかせる力を{0A}持つが、その性格は至{0A}って無邪気である。	；拥有巨大的雪人身体{0A}的杰克霜精之王。领{0A}导无数的杰克霜精，{0A}拥有足以用霜雪冰冻{0A}世界的力量，但性格{0A}却相当天真无邪。
datMyth.PTP	30	0	<EMPTY>	日本神話の国津神。{0A}スサノオの課した難事{0A}に打ち克ち、その娘ス{0A}セリヒメと出雲に国を{0A}築いたと言われる事か{0A}ら、出雲建命の祖先に{0A}あたるとされ、出雲神{0A}話の最も重要な神に位{0A}置付けられる。{0A}農耕や医療の力も司る。	；日本神话中的国津神。{0A}克服了须佐之男命出{0A}的难题，与他的女儿{0A}须势理姬共同建立出{0A}云国。因此他被视为{0A}出云建命的祖先，是{0A}出云神话中最重要的{0A}神祇。掌管农耕与医{0A}疗之力。
datMyth.PTP	31	0	<EMPTY>	バビロニアの反逆神。{0A}創造の女龍·ティアマ{0A}トの息子にして2番目{0A}の夫。{0A}ティアマトらとともに{0A}神々に戦争を挑むが、{0A}マルドゥク神に倒され{0A}る。その血からは人間{0A}が創られた。	；巴比伦的叛逆神。是{0A}创造之母龙提亚玛特{0A}的儿子，也是她的第{0A}二任丈夫。他虽然和{0A}提亚玛特一起向众神{0A}挑战，但却被马杜克{0A}击败。他的血液被用{0A}来创造了人类。
datMyth.PTP	32	0	<EMPTY>	インド神話の半人半蛇{0A}の神、ナ‒ガ族の王。{0A}特に強大な力を持つナ{0A}‒ガが、この名で呼び{0A}分けられる。{0A}ナンダ、タクシャカら{0A}「八大龍王」も、この{0A}ナ‒ガラジャに属する。	；印度神话中半人半蛇{0A}之神，那伽族之王。{0A}力量特别强大的那伽，{0A}便会被以此称呼。{0A}难陀、德叉伽等「八{0A}大龙王」也属于这一{0A}类。
datMyth.PTP	33	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}銀色の巨大な翼魚の姿{0A}をしている。言語に関{0A}するあらゆる事に優れ、{0A}修辞学、語学、姓名学{0A}などを説くという。	；所罗门王72柱魔神{0A}之一。外貌是巨大的{0A}银色蝠鲼。擅长与语{0A}言有关的所有事物。{0A}据说会替召唤者讲解{0A}修辞学、语言学与姓{0A}名学等等知识。
datMyth.PTP	34	0	<EMPTY>	黄龍。オウリュウとも。{0A}最も尊いとされる中国{0A}の龍。{0A}スザク·セイリュウな{0A}どの四神を統べるとい{0A}われ、東西南北に配置{0A}される四神の中央に、{0A}このコウリュウがいる{0A}とされる。	；黄龙也称应龙，是中{0A}国的龙中最尊贵者。{0A}它统领朱雀、青龙等{0A}四神，位于分别镇守{0A}东西南北四方的四神{0A}中央者，便是黄龙。
datMyth.PTP	35	0	<EMPTY>	古代ペルシャの契約神。{0A}戦神や太陽神としての{0A}顔も併せ持つ高位の神。{0A}世界全体の調和や真理{0A}を司り、これを乱そう{0A}とする全ての悪意ある者{0A}に裁きと罰を与える。{0A}また、調和を守る力の{0A}1つとして、病を癒す力{0A}も持つとされる。	；古波斯的契约之神。{0A}同时具备战神与太阳{0A}神的身份。掌管世界{0A}的均衡与真理，会制{0A}裁并处罚所有心怀恶{0A}意想要打乱这一切的{0A}人。同时，由于它负{0A}责守护均衡，因此也{0A}拥有治病的能力。
datMyth.PTP	36	0	<EMPTY>	人を救うべく断食と�{0A}想のうちに自らの命を{0A}断った僧侶。その霊験{0A}ゆえ身体は腐敗するこ{0A}となく有り続ける。{0A}彼もまた、来るべき救{0A}いの日に再び人々の前{0A}に現れる存在だと言う。	；为了拯救众生而绝食，{0A}在冥想自断性命的僧{0A}侣。由于其引发奇迹，{0A}肉身不会腐败。据说{0A}在必定到来的救赎之{0A}日，他会再次现身于{0A}众人面前。
datMyth.PTP	37	0	<EMPTY>	インド神話の世界蛇。{0A}世界の始まりと終わり{0A}に現れるとされるナ‒{0A}ガの王。{0A}果てしなく続く乳海に{0A}立つこのアナンタの上{0A}にヴィシュヌ神は眠り、{0A}目を覚ますと世界の創{0A}造を始めたとされる。	；印度神话中的世界蛇。{0A}据说会在世界的起始{0A}于终焉现身的纳迦之{0A}王。阿难陀矗立于无{0A}边无际的乳海之上，{0A}而毗湿奴神就在它上{0A}面沉睡着，据说当它{0A}醒来时，便会开始创{0A}造世界。
datMyth.PTP	38	0	<EMPTY>	日本記紀神話の知略に{0A}長じた神。天津神の一{0A}柱。{0A}天の岩戸に�ったアマ{0A}テラスをおびき出す策{0A}を発案したことで知ら{0A}れる。{0A}天孫降臨で従って地上{0A}に降りると、朝廷の政{0A}を引き受けた。	；日本记纪神话中善于{0A}智谋的神，天津神之{0A}一。它最著名的事迹{0A}是想出了将躲在天之{0A}岩户中的天照大神引{0A}出来的办法。跟随天{0A}孙降临地上界之后，{0A}它开始负责朝廷的祭{0A}祀事务。
datMyth.PTP	39	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第7位「権天使」に数{0A}えられる下級天使。{0A}国家や文明の盛衰を{0A}司るとされる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第七阶「权天使」的{0A}低阶天使。掌管着国{0A}家与文明的盛衰。
datMyth.PTP	40	0	<EMPTY>	天使のヒエラルキ‒の{0A}頂点に立つ四大天使の{0A}一者。名は「癒す者」{0A}を意味する。{0A}エデンの園で知恵の樹{0A}と一対を成す生命の樹{0A}を護る存在だとされる。	；位于天使位阶顶点的{0A}四大天使之一。名字{0A}的含义为「治愈者」。{0A}负责守护伊甸园中与{0A}智慧之树成对的生命{0A}之树。
datMyth.PTP	41	0	<EMPTY>	月夜の森の支配者であ{0A}り妖精王オベロンの妃。{0A}起源はロ‒マ神話の月{0A}の女神ダイアナにある{0A}と言われる。{0A}後にイギリスで妖精と{0A}解釈され、シェイクス{0A}ピアの「真夏の夜の夢」{0A}で女王としての認知が{0A}定着する。	；月夜之森的统治者妖{0A}精王奥伯隆的妻子。{0A}据说源自于罗马神话{0A}中的月之女神戴安娜。{0A}后来在英国被解释为{0A}妖精的一种。经过莎{0A}士比亚「仲夏夜之梦」{0A}的演绎，确立了一般{0A}大众认知中的女王形{0A}象。
datMyth.PTP	42	0	<EMPTY>	妖精たちの王。{0A}女王ティタ‒ニアを妻{0A}とし、妖精の間に起こ{0A}る全ての祭事を司る。{0A}年長者だが、幼少時に{0A}受けた呪いにより体の{0A}大きさが少年のまま止{0A}まっている。人間の女{0A}性と恋に落ちては、妻{0A}にたしなめを受ける。	；妖精之王。娶了女王{0A}蒂妲妮亚为妻，掌管{0A}所有妖精的祭祀典礼。{0A}虽然年龄已长，但因{0A}幼时受到的诅咒，身{0A}体停滞在少年形态。{0A}每次于人类女子落入{0A}爱河，都免不了遭到{0A}妻子一番教训。
datMyth.PTP	43	0	<EMPTY>	ギリシャ神話で水仙に{0A}姿を変じたとされる美{0A}少年。{0A}妖精エコ‒の好意をは{0A}ねつけたナルキッソス{0A}は、神々に呪いをかけ{0A}られ、水に映った自分{0A}の姿に恋してしまい、{0A}そこを離れられず衰弱{0A}死し、水仙にされた。	；在希腊神话中变成水{0A}仙的美少年。由于他{0A}拒绝了妖精艾可的示{0A}爱，因而遭到众神诅{0A}咒，爱上了自己倒映{0A}在水中的身影。后因{0A}不舍离开水边衰弱而{0A}死，最终化作了一株{0A}水仙花。
datMyth.PTP	44	0	<EMPTY>	ケルト神話の妖精女王。{0A}元来は夢魔に近い存在{0A}であったが、度々ティ{0A}タ‒ニアと混同され、{0A}女王として名が広まる。{0A}夫を多くもち、自身の{0A}経血を配合した赤い蜂{0A}蜜酒を彼らに配って支{0A}配権を分け与えた。	；凯尔特神话中的妖精{0A}女王。原本是近似梦{0A}魇的存在，后来常与{0A}蒂妲妮亚混淆，开始{0A}以女王的身份为人所{0A}知。她有许多丈夫，{0A}透过分配混入自己的{0A}经血的红色蜂蜜酒给{0A}他们，借此分配支配{0A}权。
datMyth.PTP	45	0	<EMPTY>	アイルランドの妖精。{0A}人間の女性に似た姿で{0A}現れるとされる。{0A}名前は「妖精の恋人」{0A}という意味を持つ。{0A}彼女は愛を受け入れた{0A}男に取りつき、霊感を{0A}与える代わりにその生{0A}命を吸い取るという。	；爱尔兰的妖精。据说{0A}会以近似于人类女子{0A}之姿出现。名字的原{0A}意是「妖精恋人」。{0A}她会附身在愿意接受{0A}她的爱男性身上，为{0A}其提供灵感，但作为{0A}代价，她会吸取其生{0A}命力。
datMyth.PTP	46	0	<EMPTY>	イングランドに伝わる{0A}森の妖精。洗礼を受け{0A}ずに死んだ子供の魂が{0A}化身した存在だと言う。{0A}直接人目につく場所に{0A}は現れないが、人間と{0A}様々な点で共生関係に{0A}ある存在。自分に恵み{0A}を与えた者には正しく{0A}報いる。	；英格兰传说中的森林{0A}妖精。据说是尚未受{0A}洗礼便夭折了的婴儿{0A}灵魂的化身。虽然它{0A}们不会出现在人类目{0A}及之处，但在各方面{0A}上都和人类有着共生{0A}关系。若受到恩惠，{0A}并定会加以回报。
datMyth.PTP	47	0	<EMPTY>	天使のヒエラルキ‒の{0A}頂点に立つ四大天使の{0A}一者。名は「神の炎」{0A}を意味する。{0A}最後の審判の日に復活{0A}と裁きを執行する天使{0A}とされる。また、天の星{0A}の運びを管理する役割{0A}も担う。	；位于天使位阶顶点的{0A}四大天使之一。名字{0A}的原意是「神之炎」。{0A}是在最终审判日负责{0A}执行复活与制裁的天{0A}使。另外也负责管理{0A}天上繁星的运行。
datMyth.PTP	48	0	<EMPTY>	北欧神話の巨人の王。{0A}火の国ムスペルヘイム{0A}の支配者で、手には炎{0A}の剣「レ‒ヴァテイン」{0A}を持つ。神々の黄昏ラ{0A}グナロクに際し、軍勢{0A}を率いてアスガルドへ{0A}攻め上り、ア‒ス神族{0A}を討ち滅ぼした。	；北欧神话中的巨人之{0A}王。是火之国穆斯贝{0A}尔海姆的统治者，手{0A}持炎剑「雷瓦汀」，{0A}在诸神黄昏时，率领{0A}军队攻击阿斯加德消{0A}灭了阿萨神族。
datMyth.PTP	49	0	<EMPTY>	神学に基づく天使のヒ{0A}エラルキ‒において、{0A}第3位「座天使」に数{0A}えられる上級天使。{0A}物質の体をもつ天使と{0A}しては最上級にあたる。{0A}名は「車輪」の意で、{0A}神の玉座を運ぶ者とさ{0A}れる。	；在根据神学所排出的{0A}天使位阶当中，属于{0A}第三阶「座天使」的{0A}高阶天使。是拥有物{0A}质躯体的天使当中位{0A}阶最高者。名字原意{0A}是「车轮」，负责运{0A}送神的王座。
datMyth.PTP	50	0	<EMPTY>	トラキア起源であるギ{0A}リシャ神話の軍神。{0A}性格が粗暴かつ残虐で{0A}あったため、他の神々{0A}から疎まれる面もあっ{0A}た。知性的な軍神であ{0A}るアテナとはしばしば{0A}対立し、痛手を負った{0A}という。	；发源自色雷西亚的希{0A}腊军神。由于性格粗{0A}暴残忍，所以被其他{0A}神祇疏远。他屡次与{0A}睿智的军神雅典娜对{0A}立，但往往占不到任{0A}何便宜。
datMyth.PTP	51	0	<EMPTY>	ギリシャ神話でガイア{0A}とウラヌスの間に生ま{0A}れた3つの巨人族の1{0A}つ。他の2族が怪物の{0A}姿であったのに対し、{0A}唯一ティタ‒ンだけが{0A}巨人の姿で生まれた。{0A}みな青銅の鎧兜を纏い、{0A}重装兵のような姿をし{0A}ていたとされる。	；在希腊神话中盖亚和{0A}乌拉诺斯所生的三支{0A}巨人族之一。与其他{0A}二族怪物般的外观不{0A}同，泰坦是唯一具备{0A}了高大人型姿态的种{0A}族。泰坦族全都配备{0A}着青铜的甲胄，打扮{0A}的如同重装步兵。
datMyth.PTP	52	0	<EMPTY>	獅子と牡山羊の首、そ{0A}れに蛇の尾を持つ怪物。{0A}元来は季節を表す聖獣{0A}であったが、ギリシャ{0A}神話に取り込まれる中{0A}で凶暴な魔物と見なさ{0A}れるように。風の巨人{0A}ティホンを父、蛇神エ{0A}キドナを母にもつ。	；有着狮子混着山羊形{0A}态的头和蛇尾的怪物。{0A}原来是代表四季的圣{0A}兽。被希腊神话吸收{0A}后，被认作是凶暴的{0A}魔物。其父为风暴巨{0A}人的提丰，其母是半{0A}蛇神厄喀德那。
datMyth.PTP	53	0	<EMPTY>	神道の教義「一霊四魂」{0A}に示される、4つの魂の{0A}うちの1つ。{0A}霊魂のもつ二面の働き{0A}のうち、荒ぶる側面を{0A}司るという。	；神道教义「一灵四魂」{0A}所提到的四魂之一。{0A}在灵魂所具备的两种{0A}面相当中，它象征狂{0A}放不受拘束的那一面。
datMyth.PTP	54	0	<EMPTY>	北欧神話の主神オ‒{0A}ディンの娘達。鎧兜を{0A}纏い、駿馬を駆り、自ら{0A}も空を駆け戦ったとさ{0A}れる。来るべき神々の{0A}黄昏ラグナロクに備え、{0A}人間の勇士の魂をヴァ{0A}ルハラ宮に導く役を担{0A}う。名は「死者を運ぶ{0A}者」の意。	；北欧神话主神奥丁的{0A}女儿们。身披甲胄，{0A}骑着骏马在空中作战。{0A}为了替终将到来的诸{0A}神黄昏预做准备，负{0A}责将人类勇士的灵魂{0A}引导至英灵殿。名字{0A}原意为「搬运亡者之{0A}人」。
